,summonerId
0,-3v-72ZTSP6fe-FJKVpDzv0zyyqN7iSSa3w3q1peUK0jx9o
1,-60t8G-ZvCb4PHRzMp9oaR_hbGb-Ld0Zy0RwwZGbLBbKF3s
2,-IxqTzUb1viKZC3yp3PbAwBU4hLE_VwFhoCO6CCo7ts2VNs
3,-lLY-cVFjXQi2AlDvfE_ems3WzjhADeQ__trsQ9BRWs_5kI
4,-zJpc2kYDb6iI-krEmhKwA4yKlAP9cA7_01fnH-JKln5KYs
5,-znvWhyv27JaCCZVoLvPgGvPRGj_B9vHkDmravAwqJWxHho
6,00JHQx48ravxoupvZzHv6ScmB0fAlyBXqU4WvNbiFMf_7Go
7,03toGcSlsVHCuKSQerVUulmD5W5vsMfw6cCRb_VpBmcj5zk
8,0BSIPsQTCwkYQcj4p28QEGHarO-fnshgSeiUHp_v_pn72r8
9,0O-k1q1EDvi-AElBfxb5YEpskAoJj7vyvHpWzy4SMR-YC_M
10,0k090IEm1o4kRjO7ClMOaJC_NLzVy9GHK6DpSA1OtQt0hns
11,0thY8RGd6rMLyZ7kE_Z2ejpN49tRNa1evrbAXi_26iou5HY
12,0ugCinkam46jkiLmRx8QtZrRn9Ue60PtlDHtFkALLnwogLY
13,10R6mfnHp8-7wW6UDVBpvIsb7wYZWzalGr0u_QwZi8V5vRE
14,1Apxbd-Wva6mSyWRAV-uy2vO5RswJik0gaHj56COKa9_jds
15,1aETN930IS_N689lCQtMMItFDX58mwTV9b7shgF6zctOaHY
16,1ePIFprmyLqbNdjpaydpqRnpwyrM3O5uKdGMtZTF7ITOj7I
17,1kZD7fSrd0dMOtKfGGU9q7AFQOWLIvTXnGHkjeuIf0cblXY
18,1qisPPt2K1fq3hu1GlXFH6u2hBNb31a3mvyaOAS4fx6P0J4
19,1we8uSf7FuuK9iC6aQk36C77WKql3-Ep9eyhYmILBQVtW1Y
20,20fiYoHYyUmw4DVisqHiu00aEqZeSdZRRZO6k_6092XS_Zk
21,27Eohwbd5V-dmFQlRn6DmZWFn8KlBWWyLAI2ffsSWNRvR3g
22,2F-hTYjrWi4QrP5V3d25hV2ogPyuIdSlqNbGyuKoFAbndF0
23,2MnfR7uPDK-p4cpjFROjIAGaIxFhs9Q1jo5cTGVfqFTIEpk
24,2R_O0T4hWL74nURrPWxsrZhRpUbo1f3lNZ1C1BIxCo2uPNw
25,2h7a5nUAS3vEcAGqh5ZTJrAA3SM4fNpgOL-59K5lv_SNOEE
26,2jC8w34yPQP2slWdY_sFZLKFI5419fd9fDivp6-9jVn_1MM
27,2vYEQI_d4W0rSzw1U4aJ6zKpnQ0mwl7SkH7Fmc1FtHbKeTQ
28,2zB82Vm8PB1uKPnKST4hMZmwFxIsX3b92TvXf7FRjD0Ohlc
29,2zbF6GdiedfMrQh_oa5Z78ZKCw2v4BMgi0-2grV-dJDmoPg
30,32QqnMXczIuUuPNV8aIMBpBUYVFhFIClZQ9tQCeE-deMZPM
31,34CDp12c-qJQytWcMG_uqDw7vAuLeqgLWD46gXTRYn9tTYA
32,3JpyOM3qGQTBUtSKybNchx17eqaMUE7rW3Pd4OpN0OOskks
33,3LXsHPYaBU3eHQ9bhFSvQ3-3iZXL12lZvGQKidVjTspZ3Z4
34,3c34V3pFK9GdAMHJR7sCv2JIxPDgesTPsAxBRHJvWbJSc6Q
35,3rQZmQRGx9cL3WYVpTDaVs9_xRe_3z3F0R9zqtfPlvKRU-E
36,3z0Zt8b_fvIpJr7KthzFQvlcdk5enpCPUuc7fo1Lld-y4qU
37,4Wj4tZhVSxHZP_PGO0FDwOLFksJQD1ogoyWyqbrrUK64RHg
38,4jQWFe_0c1m7Ww-yGB5urclK2Hv1TjJnT70VtQD9p4j4jeI
39,4o1TLdj8kruUlUyPmukLHeIBmw7r5xJ4okvIdBNiJQ2J3dc
40,4sCcUccaJc59FupxSXM0v-P0e842k0yNoVpPpAVfkoDRLX0
41,5-FZbNTopiOKBlmCNlhl_VS_WgD3eUMb8pT81n-r7s0UXDc
42,53CkP8mlHeiNpBO2zz4Uae5IUwJxwMaIsIdyzsC9f7Ms59s
43,58s7ktoMUbn836mxT_j1WgOrRfadX9DjhGm4lUMCx3uQcnk
44,59e8hndBXnGEI82nN2PXu1J4UjKeZ-p4EczlvCfwRoFhRXk
45,5PbrCHQIDN4HoyE0TMpUC4RiQBJfyFiLbydNi5YgW7vrMjM
46,5Xzkdn0kOYsYU69qxvk5TROktiZTHO0TbkVBqyPCFk7yNPg
47,5kZ6XfbSBxliDtJIRCR8qZF1V0hRE9obqW1D4upZjZ2Is58
48,5wl5XQqpUUiqCLmmxj65Cj_6aAvanr4kWmFll4FeBdLboTk
49,665deDer16tgD0gghueOzKe6ereZuFlxQ2iP4pS0BSiVkzc
50,66KSuJUaoVvdVu5ua3I0lqJ3j8HsHxhqpd_LcDu8L8FVjKg
51,6F9ZzMbXRZ4lNyi0L7AMRGrekd6WPGYgcOYiUC74NJpdjTU
52,6JZpvYGjdCL8b_NKnfhGMUaiEHBCQiGw3mTl6JtBhSA7Tos
53,6KCyf_t73Rp5guIwEDoB_krwnLr-jazDYbwuawYWw5s9tC8
54,6oFhOFDbgyeYjFazTD11xIQgPijv_Kx9U9ivMcL6oM9hFYs
55,6ot_xcNeF0qEGnSLMch5V7K9qrdTL5ZZaQp6jSjc2BCoH6E
56,6q8C_jg7ymtffWE3NKyV73FTzaV4dxRQfZZCO--bPqL1CLc
57,6wQIamfndeLmzbwBRf_saSefMgzVYPQ2ontQL6dNSVEeiBg
58,751lUuSAZRt2w7xMYUlrTQY2hrYh5Qav3xbSUFSwTbV5bFw
59,79WNEM14K_11VwCDLS5oMnsGyUx5BmIrRIe0nt5IovMe
60,7H8xs3DMpdrajAMHELC6Hu4A1D_E3ckf9y0DCfHBnCITExU
61,7PUxucjfP-2SU48MbxWQHzyRrbM6wjEIXZ8j5y4Ppd-Mmh0
62,7gcPu9mEryCfyqX3C35EoeQAbsJ7jMUPEDhLLJc1XQyezcA
63,7w1wjTNsf-F18c7BazT2PPjWP3niaPdDqW80R_fb-_iuheM
64,7ySYa5RaVgFq8xLKT_krCRkdGX0R-PU3M9yawjMKTymSX08
65,86TT1ZLYnzYifPU7uHRBzd5XVU_IhBKN-CMepU54EdYbVFs
66,8FEzV-uw99fg3-7N7kaBTWar0XSxlEqNorsgjMvNCIkw7ng
67,8J9mf59VFLkp0pDepdHZWwfwQNqS-8GbQSiZKv700RUlAno
68,8Q5SjT07E-HtfPedW0C2nMGTpAYlOcIfqKuxPmNCvlekL3E
69,8QJ7uOA4mysvqYfdaSJU8pf6B1qosIBtAnGPjmQt-GRgqu8
70,8Qs3kQvsAoiFzcVScqcma7tMQ9J6Wszy0zvDJklLKZgth2w
71,8d-nwIDp1B2eJSAHinhKqYdzRV_Q-vglg8iESxchr9rEIrY
72,8joa52hevp1VkRW2hBrSpGbKsUfmuVSiDArES2DsgkUVD1M
73,8qIyADeTaJ72_ykRexf9RJjKLkgwTSKBpxGPKxckAUzgWGE
74,91yuyrWamrL-gTKlEdx3ClC_6gEKWWI0R_muGzAq7p7ZLuQ
75,9IZaCIkqaqP-PwRAuTRQjqDN0UjH14A8u7d0OKMvrLpFaMs
